Area,Site #,Latitude,Longitude,elevation (m),Rock description,Soimplified rock type,S dominant,S dominant dip direction,S dominant dip angle,Ls,Ls direction,Ls plunge,shear direction,shear sense,Direction of transport,other foliations,other L,L cren trend,L cren plunge,C' provided,C'-strike,C'-dip direction,C'-dip,Lineation,Lineation type,Sample,Thin section type,reference chunk,Big crushed,Small crushed,powdered?,other comments,Metamorphic minerals (field),Peak minerals
,SK187,27.3363,88.20421,1470,mylonitic migmatite,MG,200/27W,290,27,,,,,,,,,,,,,,,,,,,,,,,Anczkievicz spent a lot of time here when it was fresh (landslide)… now too weathered and unstable,grt,Grt
,SK188,27.33485,88.22059,1150,metapelite/migmatic?,MG,204/31N,294,31,10 to 344,344,10,top to the N,normal,344,,,,,,,,,,,,,,,,,,"bt, chl",Bt
,SK189,27.31747,88.19907,1250,migmatitic,MG,230/45W,320,45,,,,,,,,,,,,,,,,,yes,random comp,,,,,big leucs cutting fold axis,"bt, msc",Bt
,SK190,27.3138,88.18684,1275,migmatite,MG,241/30NW,331,30,,,,,,,,,,,,,,,,,,,,,,,,bt,Bt
,SK56,27.30486111,88.20975,1720,grt gneiss,NMG,070/30W,340,30,,,,,,,,,,,,,,,335/25,,,no,,,,,,,
,SK57,27.30680556,88.19894444,1630,Orthogneiss,NMG,22/32W,292,32,,,,,,,,,,,,,,,003/25,,,no,,,,,,,
,,,,,,,20/39W,290,39,,,,,,,,,,,,,,,005/,,,,,,,,,,
,SK58,27.31425,88.19888889,1360,pegmatite,,05/32W,275,32,8 to 357,357,8,Top to the NW,normal,357,,,,,,,,,357/08,,,no,,,,,,,
,SK59,27.31338889,88.19030556,1315,Sil Grt Bt schist (grt up to 2cm),IM(S),035/30W,305,30,12 to 14,14,12,Top to the NW,normal,14,,,,,,,,,012/14,,,no,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,014/14,,,,,,,,,,
,SK60,27.31961111,88.21877778,1180,Ms Orthogneiss,NMG,070/34W,340,34,30 to 247,247,30,Top to E reverse overprinted by normal to W shear bands,both,247,,,,,,,,,247/30,,,no,,,,,"Interpreted as a preserved zone of early thrusting, overprinted by normal shearng to the W or NW",,
,,,,,,,040/41W,310,41,32 to 243,243,,,,,,,,,,,,,243/32,,,,,,,,,,
,SK61,27.34455556,88.21902778,1250,Ms Bt schist,IM(B),020/34W,290,34,32 to 310,310,32,Top to E reverse overprinted by normal to W shear bands,both,310,,,,,,,,,310/32,,,no,,,,,,,
,,,,,,,016/46W,286,46,,,,,,,,,,,,,,,,,,,,,,,,,
,SK62,27.34480556,88.21886111,1250,bt gneiss,NMG,012/30W,282,30,15 to 300,300,15,Top to the NW,normal,300,,,,,,,,,300/15,,,no,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,235/,,,,,,,,,,
,SK63,27.35633333,88.20205556,1335,Grt bt rich gneiss,NMG,080/16N,350,16,8 to 358,358,8,top to the N,normal,358,,,,,,,,,358/08,,,no,,,,,,,
,SK64,27.35913889,88.19897222,1400,grt baring migmatitic orthogneiss,MG,095/35N,5,35,24 to 07,7,,,,,,,,,,,,,007/24,,,no,,,,,,,
,SK65,27.36572222,88.22138889,1744,sil Bt gneiss,NMG,040/33NW,310,33,10 to 30,30,10,top to the N,normal,30,,,,,,,,,034/10,,,no,,,,,,,
,,,,,,,042/28NW,312,28,,,,,,,,,,,,,,,028/10,,,,,,,,,,
,SK66,27.36508333,88.22136111,1740,grt gneiss,NMG,018/8W,288,8,9 to 192,192,9,top to the N,normal,12,,,,,,,,,192/04,,,no,,,,,,,
,SK67,27.35830556,88.22261111,1580,grt gneiss,NMG,022/48W,292,48,22 to 10,10,22,Top to S reverse-sinistral and N dextral normal strong signals,both,10,,,,,,,,,010/22,,,no,,,,,,,
,SK68,27.36180556,88.21175,1420,grt bt migmatitic gneiss,MG,,,,12 to 10,10,12,Top to S weak signal,thrust,190,,,,,,,,,010/17,,,no,,,,,,,
,SK69,27.30311111,88.22838889,1870,migmatite (no grt),MG,178/31W,268,31,290/32,290,32,top to the N,normal,290,,,,,,,,,,stretching,,no,,,,,,,
,,,,,,,192/30W,282,30,,,,,,,,,,,,,,,270/06,intersection,,,,,,,,,
Yuksom down to Tashiding,SK239,27.3638,88.22362,1586,Grt Sil mig gneiss,MG,356/29W,266,29,12 to 358,358,12,,unknown,358,,12 to 356,,,,,,,,,,,,,,,,,
,,,,,,,020/30W,290,30,,,,,,,,12 to 002,,,,,,,,,,,,,,,,,
,,,,,,,025/46NW,295,46,,,,,,,,42 to 311,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,42 to 296,,,,,,,,,,,,,,,,,
,SK240,27.35608,88.23428,1394,Ms Bt quartzite/grt schist,IM(G),028/66W,298,66,,,,top to the east,,,Axial S = 028/19W,Faxis 01 to 028,,,,,,,,,big fold hinge,,,,,,,,
,,,,,,,038/54W,308,54,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,240/25W,330,25,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,043/48NW,313,48,,,,,,,,,,,,,,,,,,,,,,,,,
,SK241,27.34526,88.24039,1461,Grt Bt Ms migmatitic gneiss,MG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SK242,27.34511,88.26294,1493,Ms Chl phyllite/quartzite,IM(C) ,000/30W,270,30,,,,top to the S?,,,,Lcren = SH to 041,,,,,,,,,,,,,,,MCT?,,
,,,,,,,018/46W,288,46,,,,,,,,Lcren = 15 to 215,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Lcren = 09 to 307,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Lcren = 19 to 305,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Lcren = 37 to 310,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Lcren = 40 to 310,,,,,,,,,,,,,,,,,
,SK243,27.34348,88.25338,1504,Grt schistose gneiss,NMG,18/42W,288,42,15 to 237,237,15,top to the E,thrust,57,,Lcren = 26 to 285,,,,,,,,,SK243,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SK244,27.34678,88.26343,1472,Bt Ms phyllite/qtz,IM(B),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SK245,27.35004,88.27068,1492,Ms phyllite/qtz,IM(B),023/28W,293,28,,,,,,,,,,,,,,,,,SK245,,,,,,,,
,SK246,,,,Ms rock fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SK247,27.33652,88.27752,1542,Bt Ms quartzite,IM(B),017/39W,287,39,,,,,,,Axial S = 264/23N,Lcren = 17 to 310,,,,,,,,,,,,,,,,,
,,,,,,,037/19NW,307,19,,,,,,,Axial S = 113/37N,Lcren = Faxis = 12 to 291,,,,,,,,,,,,,,,,,
,,,,,,,020/19W,290,19,,,,,,,,Lcren = 15 to 310,,,,,,,,,,,,,,,,,
